adj -> JJ;full tagset
0.944847423712;0.944222111056
estimated total time: 12.13min;estimated total time: 14.61min
;
' 1.0;' 1.0
'' 1.0;'' 1.0
-- 1.0;-- 1.0
( 1.0;( 1.0
) 1.0;) 1.0
* 1.0;* 1.0
, 1.0;, 1.0
. 1.0;. 1.0
: 1.0;: 1.0
`` 1.0;`` 1.0
ABL 1.0;ABL 1.0
ABN 0.958333333333;ABN 0.958333333333
ABX 1.0;ABX 1.0
AP 0.75;AP 0.75
AT 0.998310810811;AT 0.998313659359
BE 1.0;BE 1.0
BED 1.0;BED 1.0
BEDZ 1.0;BEDZ 1.0
BEDZ* 1.0;BEDZ* 1.0
BEG 1.0;BEG 1.0
BEM 1.0;BEM 1.0
BEN 1.0;BEN 1.0
BER 1.0;BER 1.0
BEZ 1.0;BEZ 1.0
BEZ* 1.0;BEZ* 1.0
CC 0.996363636364;CC 0.996363636364
CD 0.91935483871;CD 0.91935483871
CS 0.924528301887;CS 0.924528301887
DO 1.0;DO 1.0
DO* 1.0;DO* 1.0
DOD 1.0;DOD 1.0
DOD* 1.0;DOD* 1.0
DOZ* 1.0;DOZ* 1.0
DT 1.0;DT 1.0
DT+BEZ 1.0;DT+BEZ 1.0
DTI 1.0;DTI 1.0
DTS 1.0;DTS 1.0
DTX 1.0;DTX 1.0
EX 0.9375;EX 0.9375
EX+BEZ 1.0;EX+BEZ 1.0
EX+HVD 1.0;EX+HVD 1.0
HV 1.0;HV 1.0
HV* 1.0;HV* 1.0
HVD 1.0;HVD 1.0
HVG 1.0;HVG 1.0
HVN 1.0;HVN 1.0
HVZ 1.0;HVZ 1.0
IN 0.979495268139;IN 0.979495268139
JJ 0.820971867008;JJ 0.815718157182
MD 0.97619047619;JJR 0.8
MD* 1.0;JJT 1.0
NN 0.917016806723;JJ-TL 0.636363636364
NN$ 1.0;MD 0.97619047619
NNS 0.958646616541;MD* 1.0
NNS-TL 1.0;NN 0.918776371308
NN-TL 0.896551724138;NN$ 1.0
NP 0.666666666667;NNS 0.958646616541
NP$ 0.857142857143;NNS-TL 1.0
NP$-TL 1.0;NN-TL 0.838709677419
NP-TL 0.4;NP 0.666666666667
NR 1.0;NP$ 0.777777777778
NR-TL 1.0;NP$-TL 1.0
OD 0.909090909091;NP-TL 0.285714285714
PN 0.95652173913;NR 1.0
PP$ 0.958158995816;NR-TL 1.0
PPL 1.0;OD 0.909090909091
PPO 0.98224852071;PN 0.95652173913
PPS 1.0;PP$ 0.958158995816
PPS+BEZ 1.0;PPL 1.0
PPS+HVD 1.0;PPO 0.98224852071
PPS+MD 1.0;PPS 1.0
PPSS 0.991228070175;PPS+BEZ 1.0
PPSS+BEM 1.0;PPS+HVD 1.0
PPSS+BER 1.0;PPS+MD 1.0
PPSS+HV 1.0;PPSS 0.991228070175
PPSS+HVD 1.0;PPSS+BEM 1.0
PPSS+MD 1.0;PPSS+BER 1.0
QL 0.738095238095;PPSS+HV 1.0
QLP 0.75;PPSS+HVD 1.0
RB 0.921501706485;PPSS+MD 1.0
RBR 0.875;QL 0.738095238095
RP 0.827160493827;QLP 0.75
TO 1.0;RB 0.921232876712
UH 0.72;RBR 0.875
VB 0.949019607843;RP 0.827160493827
VBD 0.950649350649;TO 1.0
VBG 0.950354609929;UH 0.72
VBN 0.791411042945;VB 0.949019607843
VBZ 0.761904761905;VBD 0.950777202073
WDT 1.0;VBG 0.950354609929
WDT+BEZ 1.0;VBN 0.796296296296
WPO 1.0;VBZ 0.761904761905
WPS 0.909090909091;WDT 1.0
WRB 1.0;WDT+BEZ 1.0
;WPO 1.0
;WPS 0.909090909091
;WRB 1.0
